Gene name	Gene Synonym
MT-TF	MTTF
MT-TF	trnF
MT-RNR1	12S
MT-RNR1	MOTS-c
MT-RNR1	MTRNR1
MT-TV	MTTV
MT-TV	trnV
MT-RNR2	16S
MT-RNR2	HN
MT-RNR2	MTRNR2
MT-TL1	MTTL1
MT-TL1	TRNL1
MT-ND1	MTND1
MT-ND1	NAD1
MT-ND1	ND1
MT-TI	MTTI
MT-TI	trnI
MT-TQ	MTTQ
MT-TQ	trnQ
MT-TM	MTTM
MT-TM	trnM
MT-ND2	MTND2
MT-ND2	NAD2
MT-ND2	ND2
MT-TW	MTTW
MT-TW	trnW
MT-TA	MTTA
MT-TA	trnA
MT-TN	MTTN
MT-TN	trnN
MT-TC	MTTC
MT-TC	trnC
MT-TY	MTTY
MT-TY	trnY
MT-CO1	COI
MT-CO1	COX1
MT-CO1	MTCO1
MT-TS1	MTTS1
MT-TS1	TRNS1
MT-TD	MTTD
MT-TD	trnD
MT-CO2	CO2
MT-CO2	COX2
MT-CO2	MTCO2
MT-TK	MERRF
MT-TK	MTTK
MT-TK	trnK
MT-ATP8	A6L
MT-ATP8	ATP8
MT-ATP8	MTATP8
MT-ATP6	ATP6
MT-ATP6	ATPase-6
MT-ATP6	MTATP6
MT-ATP6	RP
MT-ATP6	Su6m
MT-CO3	CO3
MT-CO3	COIII
MT-CO3	COX3
MT-CO3	MTCO3
MT-TG	MTTG
MT-TG	trnG
MT-ND3	MTND3
MT-ND3	NAD3
MT-ND3	ND3
MT-TR	MTTR
MT-TR	trnR
MT-ND4L	MTND4L
MT-ND4L	NAD4L
MT-ND4L	ND4L
MT-ND4	LHON
MT-ND4	MTND4
MT-ND4	NAD4
MT-ND4	ND4
MT-TH	MTTH
MT-TH	trnH
MT-TS2	MTTS2
MT-TS2	RP8
MT-TS2	TRNS2
MT-TL2	MTTL2
MT-TL2	TRNL2
MT-ND5	MTND5
MT-ND5	NAD5
MT-ND5	ND5
MT-ND6	MTND6
MT-ND6	NAD6
MT-ND6	ND6
MT-TE	MTTE
MT-TE	trnE
