"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UQCRHL",0,1.0504081821646,0.337,0.064,0
"MFAP2",0,0.693852520644659,0.172,0.008,0
"STMN1",0,1.71085739276996,0.512,0.271,0
"HMGN2",0,1.12944038413704,0.753,0.706,0
"PTP4A2",0,-0.729122256855803,0.289,0.687,0
"UQCRH",0,0.995293558079342,0.848,0.857,0
"TACSTD2",0,-1.64447415187618,0.533,0.901,0
"RHOC",0,-1.30435314606033,0.291,0.784,0
"HRNR",0,1.90104188451472,0.309,0,0
"S100A11P1",0,-0.594286449772345,0.456,0.814,0
"TAGLN2",0,1.23877153937167,0.797,0.758,0
"IER5",0,-0.776556654583803,0.077,0.395,0
"LAMB3",0,-0.805270313571135,0.091,0.397,0
"H3-3A",0,1.25423142223419,0.953,0.973,0
"HNRNPU",0,-0.852837794517081,0.085,0.353,0
"DDOST.1",0,0.754323917493219,0.241,0.015,0
"IGKV4-1",0,0.958509321936936,0.154,0,0
"IGKV1-5",0,1.06868023963231,0.149,0,0
"IGKV1-9",0,0.798681707946806,0.131,0,0
"IGKV3-11",0,0.877284576148107,0.148,0,0
"IGKV3-15",0,0.895441832233152,0.131,0,0
"IGKV3-20",0,1.26046109477849,0.174,0.001,0
"EIF5B",0,-0.633543579189835,0.366,0.701,0
"RPL31",0,-0.678287005828793,0.913,0.997,0
"RND3",0,-0.814176708066857,0.141,0.456,0
"SPATS2L",0,-0.571976521880824,0.123,0.426,0
"RPL37A",0,-0.6292495619272,0.967,1,0
"RPL15",0,-0.696081183338214,0.976,1,0
"HIGD1A",0,-0.548994959596069,0.121,0.428,0
"LTF",0,-3.01205664139899,0.091,0.417,0
"GPX1",0,0.882110665996834,0.671,0.416,0
"SELENOK",0,-1.20116356981309,0.389,0.793,0
"MTRNR2L12",0,2.65337965167254,0.519,0.264,0
"H1-10",0,-0.872929345453381,0.14,0.492,0
"TM4SF1",0,-1.31086453584606,0.588,0.92,0
"EIF4A2",0,-0.79928556405092,0.535,0.817,0
"GATD3A",0,-1.07164869147899,0.209,0.528,0
"S100P",0,2.1502336661778,0.301,0.084,0
"RPL9",0,-0.459548746827333,0.956,0.999,0
"CXCL8",0,-3.51694000208426,0.051,0.362,0
"CXCL1",0,-3.48429480775013,0.048,0.341,0
"CXCL2",0,-1.53309775511072,0.088,0.441,0
"AREG",0,-1.24164741806451,0.124,0.515,0
"ANXA3",0,-1.00512803290519,0.15,0.463,0
"RPL34",0,-0.944678639388932,0.957,0.999,0
"USP53",0,-0.950814523919643,0.077,0.405,0
"ARRDC3",0,-0.742913907923555,0.074,0.349,0
"SRP19",0,-0.638090979534418,0.103,0.431,0
"REEP5",0,-0.668574156633849,0.428,0.748,0
"PDLIM4",0,-0.545907749849477,0.109,0.416,0
"PPP2CA",0,-0.624383786204063,0.179,0.497,0
"RPS14",0,-0.817909097534018,0.974,1,0
"ATP6V0E1",0,-0.734700810619309,0.537,0.852,0
"IER3",0,-1.09395907815505,0.381,0.726,0
"HLA-DPA1",0,1.41187395113017,0.24,0.038,0
"RPS10",0,-0.641874709015219,0.569,0.969,0
"EEF1A1",0,0.774937621411771,0.995,0.998,0
"MARCKS",0,-0.743827440607523,0.22,0.553,0
"HEBP2",0,-0.737467355471777,0.299,0.711,0
"SOD2",0,-3.15164942641881,0.386,0.652,0
"WTAP",0,-0.902292573923537,0.195,0.556,0
"AFDN",0,-0.578444863380389,0.097,0.387,0
"PSMA2",0,-0.548904578386225,0.178,0.606,0
"PPIA",0,0.967241524296404,0.952,0.957,0
"CLDN4",0,-1.2027899784593,0.463,0.877,0
"DNAJB9",0,-0.895359575734362,0.161,0.472,0
"AC090498.1",0,1.794636909722,0.577,0.323,0
"SLC38A1",0,-2.62778972982201,0.581,0.854,0
"TIMP1",0,1.20300331325011,0.195,0,0
"XIST",0,-0.798878681109472,0.205,0.645,0
"RPL36AL",0,-0.970286803086828,0.677,0.963,0
"CLU",0,-0.443272239396364,0.249,0.623,0
"CEBPD",0,-1.74518250139106,0.244,0.757,0
"RPL7",0,-0.572637776102452,0.923,0.999,0
"FABP5P1",0,2.24251659871671,0.355,0.131,0
"RPL30",0,1.30733381617108,0.989,0.996,0
"PABPC1",0,1.21487711023666,0.945,0.897,0
"CDKN2A",0,1.37573351840503,0.271,0.025,0
"ANXA1",0,-1.639237193364,0.298,0.624,0
"RPL35",0,-0.898436756980679,0.946,0.999,0
"RPLP2",0,-0.47291919865864,0.961,0.999,0
"MRPL23",0,-0.630100185917141,0.089,0.43,0
"PHLDA2",0,-0.752686193466771,0.232,0.597,0
"RPL27A",0,-0.765896166102656,0.84,0.998,0
"PSMA1",0,-0.71870249704123,0.233,0.63,0
"SAA1",0,-1.46201623135119,0.225,0.547,0
"CD59",0,-0.706992749270265,0.585,0.886,0
"BEST1",0,-0.563035548001481,0.055,0.313,0
"SLC3A2",0,-1.07649446858842,0.361,0.633,0
"PPP1R14B",0,-0.534443548897533,0.198,0.545,0
"NR5A1",0,0.778265960111232,0.225,0,0
"NEAT1",0,-0.699572188518633,0.479,0.927,0
"MALAT1",0,-1.44327963833867,0.819,0.998,0
"NDUFC2",0,-0.771514717611939,0.264,0.773,0
"ARID5B",0,-0.748846442056914,0.176,0.495,0
"ADIRF",0,-1.3920265212855,0.32,0.793,0
"NDUFB8",0,-0.985006287182595,0.17,0.674,0
"GAPDH",0,1.74091021099858,0.984,0.969,0
"YBX3",0,-0.606220732855064,0.376,0.713,0
"EMP1",0,-1.23150646922773,0.143,0.584,0
"SLC38A2",0,-0.736606509849364,0.191,0.493,0
"TMBIM6",0,-1.00361025955602,0.569,0.91,0
"PCBP2",0,1.20538357990253,0.779,0.755,0
"CD63",0,-1.30591682402005,0.642,0.939,0
