"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AARD",0,1.28754077669175,0.509,0.168,0
"AC090498.1",0,1.8619117679749,0.433,0.469,0
"ADCY2",0,0.311878819517631,0.25,0.003,0
"ADIRF",0,-1.76017612395369,0.401,0.821,0
"AGR2",0,-3.30760597822856,0.057,0.459,0
"AKR1B10",0,0.610227927539296,0.339,0.028,0
"AKR1B10.1",0,-0.999437028210255,0.021,0.534,0
"ALKAL2",0,0.41192706561357,0.244,0.019,0
"ANKH",0,0.852139500795988,0.415,0.068,0
"ANP32B",0,0.857659907647441,0.688,0.628,0
"ANXA2",0,-1.66673607143942,0.745,0.91,0
"APP",0,1.04181308843833,0.619,0.738,0
"APRT",0,0.836496211615744,0.747,0.781,0
"AQP3",0,1.02505656442736,0.416,0.087,0
"AREG",0,-2.25325854485421,0.18,0.558,0
"ARHGEF9",0,0.761226526257664,0.42,0.073,0
"ARID5B",0,-0.945297573330203,0.149,0.554,0
"ARMC8",0,1.05938343580623,0.437,0.182,0
"ARPC1A",0,0.885595210938292,0.652,0.585,0
"ARPC1B",0,1.7063783953465,0.563,0.548,0
"ASCL2",0,0.321368887457486,0.229,0.012,0
"ASS1",0,1.19145497715143,0.551,0.213,0
"ATP5MF",0,0.871561417383762,0.771,0.814,0
"ATP5PO",0,0.0578327553565641,0.502,0.769,0
"ATP6V0B",0,-1.07748695455716,0.482,0.839,0
"ATP6V0C",0,0.935382898134432,0.191,0.007,0
"ATP6V1B1",0,0.616992767374372,0.25,0.019,0
"BGN",0,1.69100207839275,0.244,0.005,0
"BHLHE40.1",0,0.675266738562674,0.34,0.001,0
"BHLHE40.2",0,0.00363269919840192,0.125,0.381,0
"BPI",0,0.563943069660615,0.251,0.004,0
"BSG",0,0.62071172448495,0.649,0.749,0
"BTG1",0,-1.39606172156271,0.545,0.886,0
"C15orf48",0,-1.99487440145345,0.075,0.544,0
"C17orf99",0,0.230340531558361,0.182,0.001,0
"C1S",0,1.44237637084063,0.465,0.086,0
"C5orf66-AS1",0,0.724658331409681,0.356,0,0
"C9orf16",0,1.23123024782872,0.696,0.546,0
"CADPS.1",0,0.902340258134523,0.36,0.057,0
"CALD1",0,1.68068801513524,0.589,0.375,0
"CAPG",0,1.38556767845639,0.657,0.533,0
"CCDC167",0,0.864217739950428,0.495,0.289,0
"CCN1",0,-2.09989943881703,0.104,0.526,0
"CCNI",0,0.725980953588353,0.807,0.828,0
"CD59",0,0.48195210403254,0.638,0.89,0
"CD63",0,-1.13217349581735,0.689,0.941,0
"CD74",0,3.34815042486038,0.705,0.313,0
"CDH19",0,0.396386692003613,0.242,0.003,0
"CDK6",0,0.758141976287849,0.388,0.122,0
"CDKN2A",0,1.56097311627892,0.543,0.043,0
"CEBPD",0,-1.44456454045138,0.402,0.766,0
"CEP70",0,1.39233010678343,0.439,0.064,0
"CHCHD10",0,1.29572755629118,0.632,0.482,0
"CHRDL2",0,1.40843391234278,0.353,0.016,0
"CLDN4",0,-2.46996427268691,0.399,0.875,0
"CLDN7",0,-1.4485516364657,0.291,0.774,0
"CLIC3",0,0.747204399035906,0.295,0.016,0
"COL9A3",0,0.658695822570157,0.293,0.02,0
"COMMD6",0,0.790713495889614,0.781,0.85,0
"COPB2",0,1.8387338752696,0.542,0.391,0
"COX4I1",0,0.500203612607066,0.862,0.97,0
"COX5B",0,0.686549365140894,0.826,0.876,0
"COX6B1",0,0.590012087111782,0.831,0.91,0
"COX6C",0,1.47605214664388,0.892,0.898,0
"COX7B",0,0.682589832613094,0.749,0.799,0
"COX8A",0,0.666093130093826,0.77,0.832,0
"CP",0,0.706947158910797,0.362,0.05,0
"CPQ",0,0.828262032183002,0.393,0.041,0
"CRABP1.1",0,2.63941984580388,0.22,0.087,0
"CRISPLD1",0,0.61637550176202,0.301,0.023,0
"CRNDE",0,0.918840197589747,0.581,0.486,0
