"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TACSTD2",0,-1.80378223599332,0.53,0.929,0
"RHOC",0,-1.21910983955053,0.286,0.797,0
"HRNR",0,1.98809677837743,0.345,0,0
"H3-3A",0,1.3182859796688,0.955,0.978,0
"RPL31",0,-0.780305885437398,0.909,0.998,0
"RPL15",0,-0.765934805866418,0.985,1,0
"LTF",0,-3.7135935565324,0.114,0.639,0
"SELENOK",0,-1.07563952377399,0.37,0.783,0
"TM4SF1",0,-1.29279137954609,0.589,0.937,0
"CXCL2",0,-1.66221203943921,0.093,0.52,0
"RPL34",0,-0.992860460375464,0.966,1,0
"RPS14",0,-0.879903084868134,0.981,1,0
"HEBP2",0,-0.960490512766402,0.302,0.76,0
"SOD2",0,-3.57960926609787,0.437,0.791,0
"PPIA",0,0.978434915469339,0.955,0.974,0
"CLDN4",0,-1.30374686457492,0.462,0.892,0
"SLC38A1",0,-2.93504482445422,0.555,0.858,0
"CEBPD",0,-1.67946362966765,0.241,0.751,0
"RPL7",0,-0.627173607949952,0.932,0.999,0
"RPL30",0,1.37711912728716,0.991,0.998,0
"PABPC1",0,1.30013001825931,0.952,0.905,0
"CDKN2A",0,1.457064297684,0.312,0.024,0
"ANXA1",0,-1.99262929100721,0.407,0.831,0
"RPL35",0,-0.838662416276002,0.956,0.999,0
"RPL27A",0,-0.795973848771373,0.852,0.999,0
"SAA2",0,-2.54274327959168,0.193,0.643,0
"SAA1",0,-1.87516040825688,0.313,0.796,0
"NEAT1",0,-0.99329079435463,0.443,0.935,0
"MALAT1",0,-1.4072284126701,0.798,0.996,0
"NDUFB8",0,-1.10918236439903,0.191,0.732,0
"GAPDH",0,1.46627710753111,0.99,0.988,0
"TMBIM6",0,-1.03317702822452,0.559,0.914,0
"CD63",0,-1.22321588598876,0.655,0.955,0
"RPL41",0,-1.32042936375359,0.982,1,0
"RPL21",0,-0.720628407365139,0.957,1,0
"RPS29",0,-1.17716415908227,0.884,0.999,0
"ALDH1A3",0,-1.61779797290254,0.051,0.523,0
"RPS2",0,-0.942255904918306,0.981,1,0
"ATP6V0C",0,1.34536060211483,0.358,0.005,0
"CLDN7",0,-1.00245018850222,0.354,0.796,0
"RPL26",0,-1.33127213682874,0.879,1,0
"RPL23",0,-1.08044872796901,0.721,0.987,0
"EIF1",0,-0.945390225541146,0.899,0.995,0
"PI3",0,-3.7793179925183,0.085,0.521,0
"WFDC2",0,-4.32432337249868,0.189,0.843,0
"PPDPF",0,1.37878285995145,0.932,0.935,0
"MYDGF",0,1.26778165494074,0.328,0,0
"ILF3",0,0.796290014712462,0.224,0.003,0
"RPL13A",0,-1.15759286859728,0.933,1,0
"TIMP1.1",0,-1.79510733857575,0.228,0.738,0
"HRNR.1",0,-1.67516699659358,0.123,0.799,0
"MYDGF.1",0,-1.43678955513932,0.197,0.762,0
"LCN2",6.21916386499776e-306,-1.3388327613523,0.208,0.641,3.456922234359e-301
"EMP1",2.18445264784178e-301,-1.36282255780161,0.163,0.589,1.21422800430285e-296
"TIMP1",4.43520552410474e-301,1.39434567491774,0.211,0,2.46530899057362e-296
"NR5A1",2.20737306110875e-300,0.704280002255621,0.21,0,1.2269683160173e-295
"PIGR",7.93982025634513e-297,-1.45527909611394,0.042,0.433,4.41334908948944e-292
"MT-ATP8",4.28125174100714e-295,3.24009043563294,0.536,0.254,2.37973378023882e-290
"EIF4A1",1.9053894486448e-293,-0.966569921349758,0.273,0.696,1.05911072502921e-288
"BTG1",8.97279216883695e-293,-1.37669993099665,0.508,0.869,4.98752652704802e-288
"CXCL8",7.98341952625333e-289,-3.68364684226793,0.049,0.423,4.43758374366791e-284
"GABARAP",1.30799736158875e-287,1.77439404194984,0.559,0.275,7.27050333439106e-283
"RPS10",7.89482130931604e-287,-0.654391181535761,0.577,0.982,4.38833642478332e-282
"CXCL1",6.55780430942657e-286,-3.98283590054404,0.057,0.431,3.64515552539476e-281
"SUMO2",2.91236827010384e-283,0.919964224192115,0.864,0.866,1.61883990293722e-278
"HLA-DPA1",9.55668397368775e-283,1.66371090562836,0.307,0.045,5.31208278677434e-278
"SLPI",5.52575341903645e-279,-0.558404016136421,0.397,0.857,3.07149003797141e-274
"NDUFC2",6.49142080714373e-275,-0.632654452178292,0.287,0.779,3.60825625565084e-270
"RPLP0",2.87946795519733e-274,1.03994952210598,0.983,0.997,1.60055226289643e-269
"XIST",5.87785541595303e-273,-0.741053964923515,0.182,0.623,3.26720593295749e-268
"PHLDA1",7.91779259182213e-273,-1.25741932260478,0.222,0.637,4.40110501216433e-268
"RPS17",5.47134050161768e-270,-0.810210563951827,0.815,0.971,3.04124461782419e-265
"RPL36AL",2.37573067012072e-268,-0.926236725480339,0.687,0.968,1.3205498929866e-263
