"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UQCRHL",0,1.09372989484833,0.331,0.064,0
"MFAP2",0,0.7004879047102,0.158,0.008,0
"PTP4A2",0,-1.04282073365572,0.236,0.687,0
"TACSTD2",0,-1.49314440540401,0.53,0.901,0
"RHOC",0,-1.33581313662052,0.286,0.784,0
"HRNR",0,1.98791223339404,0.345,0,0
"H3-3A",0,1.26289250392814,0.955,0.973,0
"DDOST.1",0,0.690337056318081,0.206,0.015,0
"IGKV4-1",0,0.916288875496156,0.137,0,0
"IGKV1-5",0,0.865957391014845,0.131,0,0
"IGKV3-11",0,0.801334749303517,0.125,0,0
"IGKV3-20",0,1.04176368079985,0.149,0.001,0
"RPL31",0,-0.708270822506853,0.909,0.997,0
"RPL15",0,-0.641071569045335,0.985,1,0
"SELENOK",0,-1.28187926595692,0.37,0.793,0
"TM4SF1",0,-1.45108079684179,0.589,0.92,0
"AREG",0,-2.24358336567555,0.112,0.515,0
"RPL34",0,-0.852861647297432,0.966,0.999,0
"RPS14",0,-0.759053908956314,0.981,1,0
"HLA-DPA1",0,1.66940551581145,0.307,0.038,0
"EEF1A1",0,0.915655121759013,0.995,0.998,0
"PPIA",0,1.00400354600906,0.955,0.957,0
"CLDN4",0,-1.3356721944463,0.462,0.877,0
"SLC38A1",0,-2.82326627264884,0.555,0.854,0
"TIMP1",0,1.3944238372795,0.211,0,0
"XIST",0,-0.913639324108234,0.182,0.645,0
"RPL36AL",0,-0.953716491791398,0.687,0.963,0
"CEBPD",0,-1.82735784685287,0.241,0.757,0
"FABP5P1",0,2.51117876938945,0.409,0.131,0
"RPL30",0,1.41583776731114,0.991,0.996,0
"PABPC1",0,1.29985321631448,0.952,0.897,0
"CDKN2A",0,1.44918116266155,0.312,0.025,0
"RPL35",0,-0.824279838041255,0.956,0.999,0
"RPL27A",0,-0.675379336636855,0.852,0.998,0
"NR5A1",0,0.704013227360129,0.21,0,0
"NEAT1",0,-0.992956895074503,0.443,0.927,0
"MALAT1",0,-1.87469364584617,0.798,0.998,0
"NDUFC2",0,-0.708982167523623,0.287,0.773,0
"ADIRF",0,-1.70432001967029,0.267,0.793,0
"NDUFB8",0,-0.969206049770614,0.191,0.674,0
"GAPDH",0,1.78587063965191,0.99,0.969,0
"EMP1",0,-1.19948830527628,0.163,0.584,0
"TMBIM6",0,-1.11646970565934,0.559,0.91,0
"CD63",0,-1.28509394819725,0.655,0.939,0
"RPL41",0,-1.41067303201429,0.982,1,0
"BTG1",0,-1.32162653418899,0.508,0.88,0
"RPLP0",0,1.13279489441852,0.983,0.994,0
"RPL21",0,-0.6701963283643,0.957,1,0
"RPS29",0,-1.094503664201,0.884,0.998,0
"KTN1",0,-0.967337998624803,0.397,0.819,0
"IFI27",0,2.15454751995196,0.271,0.045,0
"C15orf48",0,-1.88307134928085,0.069,0.503,0
"COPS2",0,0.406276804044268,0.143,0,0
"NGRN",0,1.02824194990861,0.323,0.061,0
"RPS2",0,-0.775715988073622,0.981,1,0
"ATP6V0C",0,1.34130944033781,0.358,0.007,0
"ALDOA",0,1.06330286331026,0.911,0.632,0
"GABARAP",0,1.75792294044516,0.559,0.258,0
"CLDN7",0,-0.979274308448272,0.354,0.761,0
"RPL26",0,-1.26748438257837,0.879,0.999,0
"RPL23",0,-1.08219634399685,0.721,0.982,0
"EIF1",0,-0.929210650952379,0.899,0.99,0
"VMP1",0,-1.36091764300619,0.246,0.727,0
"CPNE1",0,0.34979454630733,0.13,0,0
"WFDC2",0,-3.5146342544135,0.189,0.781,0
"MYDGF",0,1.26811331180566,0.328,0,0
"ILF3",0,0.797187366916861,0.224,0.002,0
"JUND",0,-1.6925898201092,0.144,0.535,0
"RPL13A",0,-1.08089999102698,0.933,1,0
"MT-ATP8",0,3.27327051735742,0.536,0.215,0
"SLC38A1.2",0,-1.48345956561989,0.08,0.493,0
"TIMP1.1",0,-1.28513413524819,0.228,0.694,0
"HRNR.1",0,-1.78837161685527,0.123,0.788,0
"MYDGF.1",0,-1.48228041253082,0.197,0.716,0
"RPS10",1.23788169370461e-304,-0.59669672210553,0.577,0.969,6.88076539445708e-300
"VIM",8.91193203235404e-304,2.60044365583798,0.65,0.43,4.95369742018399e-299
"MAFF",6.50397857142818e-303,-1.05449231030336,0.144,0.541,3.61523648892835e-298
"EIF4A1",5.47335724682276e-299,-0.982551534874395,0.273,0.656,3.04236562564643e-294
"PSMA7",1.06923045557647e-298,0.82963585942736,0.108,0,5.94331748732181e-294
"ATP6V0E1",4.48915092618171e-298,-0.790447900409146,0.521,0.852,2.4952945423181e-293
"VAMP2",1.28609456509393e-293,-0.719561775119309,0.185,0.587,7.14875664007461e-289
"HEBP2",7.95025242872164e-293,-0.802076646467644,0.302,0.711,4.41914781250493e-288
"STMN1",2.30211125473502e-292,1.85226749591898,0.537,0.271,1.27962854094446e-287
"IGKV1-9",1.54962491301396e-290,0.745778619990623,0.106,0,8.6135900789881e-286
"IER3",1.62313593115791e-288,-1.41987556337713,0.349,0.726,9.02220107334126e-284
"RPL7",2.29277578017127e-288,-0.486187830158796,0.932,0.999,1.2744394174082e-283
"REEP5",2.92909834192708e-283,-0.851556948223405,0.39,0.748,1.62813931336017e-278
"STC2",3.81356612093214e-282,-1.62039057953854,0.071,0.429,2.11977072832013e-277
"RPS15",2.38894737274806e-280,-0.614549617455633,0.974,1,1.32789639714201e-275
"IGKV3-15",6.69246744368233e-280,0.888754529469495,0.104,0,3.72000802857083e-275
"CD74",6.96023614361108e-280,2.18613141927625,0.61,0.354,3.86884726042622e-275
"LINC01133",9.58061776230978e-278,0.519355618340653,0.132,0.007,5.32538638317989e-273
"RAB43.2",1.9222050920685e-273,0.702443145545577,0.247,0.048,1.06845770042627e-268
"PPDPF",5.24290306342211e-272,1.09918878289501,0.932,0.938,2.91426766780318e-267
"HLA-DRA",1.79054008271702e-271,2.12847795044363,0.387,0.139,9.95271704978257e-267
"ATF4",1.91263246388549e-271,-1.06516616664303,0.463,0.795,1.06313675505075e-266
"MSLN",2.92472151597501e-271,0.517386450773857,0.107,0.002,1.62570645465471e-266
"TPM2",8.92545038706069e-270,1.94893460182761,0.39,0.144,4.96121159764768e-265
"PLEKHB1",1.93870670395024e-269,0.702114854189935,0.221,0.038,1.07763012139074e-264
"TMBIM4",5.3199823668827e-269,-0.784341230045053,0.129,0.492,2.95711219863175e-264
"UQCRH",7.40584393694618e-269,1.04470420365914,0.855,0.857,4.11653835235153e-264
"TAGLN2",1.77253841518454e-267,1.32209670540246,0.814,0.758,9.85265478080327e-263
"TSC22D1",2.7595358348578e-267,-1.21323276592456,0.457,0.783,1.53388799380571e-262
