"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","direction"
"S100A8",7.75671199922479e-72,4.96014147790332,0.177,0.065,4.3115683647691e-67,"Up in TNBC"
"S100A9",1.95692012703816e-46,4.41600714926066,0.236,0.136,1.08775405261416e-41,"Up in TNBC"
"MT-ATP8",0,3.30673896716159,0.536,0.177,0,"Up in TNBC"
"FDCSP",1.13261557981026e-83,3.28880288761335,0.186,0.065,6.29564370037534e-79,"Up in TNBC"
"KRT14",5.77984665722573e-69,3.19238545411937,0.279,0.158,3.21272776441892e-64,"Up in TNBC"
"VIM",0,3.03018314585487,0.65,0.362,0,"Up in TNBC"
"FABP5P1",0,2.81699819474313,0.409,0.076,0,"Up in TNBC"
"TAGLN",2.57760664630482e-142,2.74667785356278,0.25,0.074,1.43276265434853e-137,"Up in TNBC"
"CALML5",4.16853540366713e-209,2.72980179717246,0.268,0.053,2.31708040412837e-204,"Up in TNBC"
"CXCL14",1.78957309479071e-74,2.66273625523573,0.119,0.027,9.94734204739418e-70,"Up in TNBC"
"CD74",0,2.62032610177195,0.61,0.212,0,"Up in TNBC"
"MFGE8",1.10375083869223e-209,2.56471463388234,0.401,0.152,6.13519903687076e-205,"Up in TNBC"
"MTRNR2L12",1.60033826197753e-172,2.54735052495112,0.483,0.249,8.89548022920211e-168,"Up in TNBC"
"CRABP1.1",5.85429239098924e-251,2.47048427581787,0.273,0.04,3.25410842553137e-246,"Up in TNBC"
"S100A1",0,2.40774203544585,0.418,0.081,0,"Up in TNBC"
"HLA-DRA",0,2.37577194485736,0.387,0.068,0,"Up in TNBC"
"MT-ND4L",1.49110312296961e-129,2.29714378778873,0.718,0.741,8.28829670902656e-125,"Up in TNBC"
"CD24",2.3040945655517e-78,2.27469688826479,0.799,0.871,1.28073096426191e-73,"Up in TNBC"
"TPM2",0,2.26740615845516,0.39,0.088,0,"Up in TNBC"
"HLA-DRB1",3.88853301607071e-239,2.19671359614721,0.344,0.084,2.1614410769829e-234,"Up in TNBC"
"GAPDH",0,2.19021925276809,0.99,0.95,0,"Up in TNBC"
"IFI27",2.07087576302953e-230,2.14009814049836,0.271,0.045,1.15109629287996e-225,"Up in TNBC"
"KRT15",5.19649269138938e-65,2.0991728112636,0.39,0.291,2.88847046250879e-60,"Up in TNBC"
"S100A4",3.82024025145633e-220,1.98773208685329,0.37,0.117,2.123480543772e-215,"Up in TNBC"
"HRNR",0,1.98773035806104,0.345,0,0,"Up in TNBC"
"HLA-B",2.7214660873731e-58,1.88595493047712,0.709,0.755,1.51272692466634e-53,"Up in TNBC"
"AC090498.1",3.04705125259478e-224,1.88383914202025,0.559,0.301,1.69370343875481e-219,"Up in TNBC"
"LDHB",1.32265561873556e-61,1.8677679966435,0.563,0.564,7.35198125674162e-57,"Up in TNBC"
"MRAS",1.78883368250494e-231,1.81472552558503,0.229,0.024,9.9432320242037e-227,"Up in TNBC"
"STMN1",1.51445642873923e-200,1.77542618578951,0.537,0.294,8.41810605914704e-196,"Up in TNBC"
"ACTA2",1.11812937756516e-107,1.77277637482082,0.172,0.041,6.21512214519595e-103,"Up in TNBC"
"MIA",1.47445555970303e-156,1.75298565630481,0.202,0.037,8.19576122860931e-152,"Up in TNBC"
"GABARAP",0,1.74187001762713,0.559,0.241,0,"Up in TNBC"
"HLA-DPA1",0,1.67504054274033,0.307,0.031,0,"Up in TNBC"
"CALD1",5.69770559629558e-288,1.67006426841422,0.46,0.146,3.1670696557009e-283,"Up in TNBC"
"HLA-DPB1",1.82262588385844e-193,1.65600093994071,0.304,0.082,1.01310659754272e-188,"Up in TNBC"
"MYL9",3.92324651652462e-98,1.65191597628001,0.287,0.134,2.18073657621021e-93,"Up in TNBC"
"S100P",1.78612693967538e-108,1.61796041073368,0.295,0.122,9.92818659418559e-104,"Up in TNBC"
"CRYAB",7.53508547118231e-236,1.59136007474291,0.457,0.184,4.18837725915669e-231,"Up in TNBC"
"APOE",6.35682568434187e-101,1.57011859013488,0.213,0.07,3.53344155664143e-96,"Up in TNBC"
"SAA1",1.22757190355505e-09,1.53190180453212,0.313,0.302,6.82345842591077e-05,"Up in TNBC"
"IFI6",3.98351177469598e-188,1.50432538853147,0.302,0.078,2.21423501996476e-183,"Up in TNBC"
"MMP7",4.78146310981638e-45,1.49345896342927,0.184,0.092,2.65777626959143e-40,"Up in TNBC"
"RPL30",0,1.45504585066132,0.991,0.994,0,"Up in TNBC"
"NME2",9.84547637331857e-272,1.45264926768227,0.458,0.168,5.47260804210913e-267,"Up in TNBC"
"CDKN2A",0,1.44145300520724,0.312,0.027,0,"Up in TNBC"
"CHI3L1",9.66022876986026e-129,1.39698707623143,0.228,0.064,5.36963816172683e-124,"Up in TNBC"
"MYLK",4.72342542942754e-162,1.39583998740909,0.201,0.034,2.6255160249473e-157,"Up in TNBC"
"TIMP1",4.85273126992127e-306,1.39450088286218,0.211,0,2.69739067229025e-301,"Up in TNBC"
"ALDOA",0,1.38075935934442,0.911,0.558,0,"Up in TNBC"
"COTL1",4.67259472473936e-103,1.37577154084713,0.333,0.169,2.59726177774637e-98,"Up in TNBC"
"CSTB.1",2.00007472745815e-225,1.37518433069516,0.848,0.79,1.11174153725761e-220,"Up in TNBC"
"BGN",2.42710767239096e-157,1.37467787792659,0.127,0.005,1.34910779969852e-152,"Up in TNBC"
"HLA-A",9.85855390622018e-23,1.36249348636284,0.684,0.766,5.47987718877248e-18,"Up in TNBC"
"TAGLN2",8.11882574491925e-237,1.34759616928886,0.814,0.725,4.51284929031336e-232,"Up in TNBC"
"KRT5",9.26564784844782e-205,1.34458279779596,0.265,0.052,5.15031035655973e-200,"Up in TNBC"
