"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL7R",0,3.38333970362562,0.521,0.048,0,"T cells","IL7R"
"CD3D",0,2.77339790051506,0.738,0.033,0,"T cells","CD3D"
"CST7",0,2.54193025836563,0.555,0.04,0,"T cells","CST7"
"CCL4",0,2.49291758541672,0.374,0.096,0,"T cells","CCL4"
"PTPRC",0,2.43712051315055,0.816,0.175,0,"T cells","PTPRC"
"CD8A",0,2.34442714433589,0.358,0.022,0,"T cells","CD8A"
"GZMK",0,2.23616569290446,0.27,0.012,0,"T cells","GZMK"
"TRBC2",0,2.20330421662541,0.595,0.051,0,"T cells","TRBC2"
"LCK",0,2.13170601008734,0.614,0.035,0,"T cells","LCK"
"TRAC",0,2.12500867034593,0.525,0.039,0,"T cells","TRAC"
"DUSP2",0,1.99760591313393,0.584,0.173,0,"T cells","DUSP2"
"CD3G",0,1.94871310060466,0.53,0.022,0,"T cells","CD3G"
"KLRB1",0,1.94811073523806,0.273,0.012,0,"T cells","KLRB1"
"IFITM1",0,1.92261612488795,0.72,0.329,0,"T cells","IFITM1"
"CD8B",0,1.86565933062723,0.305,0.019,0,"T cells","CD8B"
"TNFAIP3",0,1.78349674434413,0.576,0.195,0,"T cells","TNFAIP3"
"CD27",0,1.75523645886472,0.456,0.05,0,"T cells","CD27"
"TBC1D10C",0,1.52535550365234,0.453,0.052,0,"T cells","TBC1D10C"
"SRGN",0,1.52030468912988,0.849,0.29,0,"T cells","SRGN"
"GIMAP7",0,1.5157976039591,0.457,0.088,0,"T cells","GIMAP7"
"PRF1",0,1.48093002789268,0.292,0.017,0,"T cells","PRF1"
"SKAP1",0,1.4590421018571,0.422,0.039,0,"T cells","SKAP1"
"CLEC2D",0,1.4453379150849,0.421,0.065,0,"T cells","CLEC2D"
"GZMH",0,1.43193423260258,0.187,0.013,0,"T cells","GZMH"
"GZMM",0,1.42277983633084,0.337,0.012,0,"T cells","GZMM"
"TNFRSF4",0,1.36459173549678,0.189,0.039,0,"T cells","TNFRSF4"
"PTPRCAP",0,1.36304696725142,0.318,0.036,0,"T cells","PTPRCAP"
"LAG3",0,1.34905109810777,0.242,0.041,0,"T cells","LAG3"
"IL2RB",0,1.3417178475982,0.301,0.015,0,"T cells","IL2RB"
"CXCR6",0,1.33288832937831,0.241,0.011,0,"T cells","CXCR6"
"CD6",0,1.32387955029957,0.34,0.018,0,"T cells","CD6"
"KLRD1",0,1.32288181864116,0.185,0.014,0,"T cells","KLRD1"
"RHOH",0,1.30425678810208,0.445,0.092,0,"T cells","RHOH"
"CCL4L2",0,1.2856724843736,0.152,0.058,0,"T cells","CCL4L2"
