"pathway","NES","padj","size","input","leadingEdge"
"ATP Metabolic Process (GO:0046034)",1.04144418665231,0.766694370473396,10,"TNBC signature","ALDOA,PARP1,HSPA8"
"Apoptotic Process (GO:0006915)",-1.18808440020855,0.631025854879066,23,"TNBC signature","IER3,NFKBIA,PMAIP1,GADD45A"
"Cellular Component Assembly (GO:0022607)",-0.891456228535964,0.882541576553061,11,"TNBC signature","CDC42"
"Cellular Response To Cytokine Stimulus (GO:0071345)",-0.872771138566224,0.899778181084896,22,"TNBC signature","NFKBIA,CCL2"
"Cellular Response To Decreased Oxygen Levels (GO:0036294)",-1.56197879859328,0.466234078346551,10,"TNBC signature","HMOX1,PMAIP1"
"Cellular Response To Growth Factor Stimulus (GO:0071363)",-1.02553680454185,0.766694370473396,21,"TNBC signature","CCL2,HSPB1,CD44,SMAD3,PTPN12,NR3C1,MAPKAPK2"
"Cellular Response To Hypoxia (GO:0071456)",-1.56197879859328,0.466234078346551,10,"TNBC signature","HMOX1,PMAIP1"
"Cellular Response To Insulin Stimulus (GO:0032869)",0.990296936898318,0.786125539770949,10,"TNBC signature","PARP1,SHC1,PIK3R3"
"Cellular Response To Lipid (GO:0071396)",-1.27555354626292,0.577490658053075,17,"TNBC signature","CCL2,CXCL2,NRIP1,HSPA1B"
"Cellular Response To Metal Ion (GO:0071248)",0.766035722703972,0.899778181084896,12,"TNBC signature","BNIP3,CPNE3,CLIC4,EGFR,LGMN"
"Cellular Response To Organic Cyclic Compound (GO:0071407)",-1.32474442667085,0.566883116883117,14,"TNBC signature","CCL2,NRIP1,TIPARP,HSPA1B"
"Cellular Response To Oxidative Stress (GO:0034599)",-1.21686013891042,0.631025854879066,19,"TNBC signature","HMOX1,NFE2L2,HSPA1B,FOXO3,SQSTM1,TPM1,HIF1A"
"Cellular Response To Oxygen-Containing Compound (GO:1901701)",-1.10072847888765,0.704704081367894,26,"TNBC signature","CCL2,CXCL2,NRIP1"
"Cellular Response To Reactive Oxygen Species (GO:0034614)",-1.4626381192573,0.466234078346551,10,"TNBC signature","EDN1,NFE2L2,SQSTM1,TPM1"
"Cellular Response To Starvation (GO:0009267)",-1.20439154249004,0.66874494169839,10,"TNBC signature","PMAIP1,FOXO3"
"Cellular Response To Tumor Necrosis Factor (GO:0071356)",-1.39251529756355,0.48746502198618,15,"TNBC signature","NFKBIA,CCL2,NFE2L2,FOXO3"
"Chromatin Organization (GO:0006325)",0.869800573143864,0.896182834913688,20,"TNBC signature","HDAC2,PSIP1,RUVBL1,SMARCA4"
"Chromatin Remodeling (GO:0006338)",0.986607548832169,0.786125539770949,17,"TNBC signature","HDAC2,PSIP1,RUVBL1,SMARCA4"
"Cytokine-Mediated Signaling Pathway (GO:0019221)",-1.64985138745743,0.204640039562843,17,"TNBC signature","NFKBIA,CCL2,CXCL2"
"DNA Damage Response (GO:0006974)",-1.0982108283233,0.704704081367894,26,"TNBC signature","IER3,GADD45A,VAV3,BCL2,CHEK2,CDKN1A,MAPKAPK2,PDS5A"
"DNA Metabolic Process (GO:0006259)",0.608055895501274,0.982160526442192,19,"TNBC signature","PARP1,POLB,RUVBL1,RFC2"
"DNA Repair (GO:0006281)",0.723385442138628,0.94141154642118,19,"TNBC signature","PARP1,POLB,PCNA"
"DNA-templated Transcription (GO:0006351)",-1.27609019635842,0.577490658053075,20,"TNBC signature","CEBPD,MRPL12,FOXO3"
