"pathway","TNBC signature NES","TNBC signature FDR","QL-XII-47 NES","QL-XII-47 FDR","GSK-690693 NES","GSK-690693 FDR","QL-XII-47 + GSK-690693 NES","QL-XII-47 + GSK-690693 FDR"
"Negative Regulation Of Cell Population Proliferation (GO:0008285)",0.838294229529617,0.899778181084896,1.85067748797837,0.0226256516311964,1.26093559599358,0.550864197530864,1.90441215529062,0.0300191313861212
"Negative Regulation Of Cellular Process (GO:0048523)",-0.861471799311436,0.899778181084896,1.55209503469337,0.13583977245995,1.14112978910211,0.661693749653375,1.7050850131683,0.0497400703973979
"Negative Regulation Of DNA-templated Transcription (GO:0045892)",-1.18514060296875,0.581380867128512,2.20679171310099,2.61228354278933e-05,-0.90229842433005,0.897636299492524,1.91103894920682,0.00552077117405646
"Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)",-1.50526865796736,0.41282407209287,2.25956129816876,2.61228354278933e-05,-0.882387464479434,0.900051692943913,1.84119161232166,0.0128537284517734
"Positive Regulation Of DNA-templated Transcription (GO:0045893)",-1.31721821344107,0.466234078346551,2.13581630896563,4.30405927009751e-05,0.945391440668458,0.838163816381638,1.75098711485104,0.0218403895124067
"Positive Regulation Of Kinase Activity (GO:0033674)",-1.07476667243638,0.766694370473396,1.44962869835943,0.286803610333022,1.98308691060143,0.0796666079844072,1.8873848670143,0.0374478742913695
"Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)",-0.921537079022116,0.866071428571428,2.19981123490685,5.41881895405108e-05,1.00468219676271,0.780684104627767,1.74518282680972,0.0456611325696707
"Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)",-1.31520536099758,0.466234078346551,2.05258229618381,0.00132998522400658,1.0739940619254,0.751374312843578,1.89233904364876,0.012101814552181
"Positive Regulation Of miRNA Metabolic Process (GO:2000630)",-1.2539083507005,0.602575757575758,2.21751577652115,8.00919481357048e-05,1.21238699804717,0.650881901840491,2.08948808994812,0.00552077117405646
"Positive Regulation Of miRNA Transcription (GO:1902895)",-1.2539083507005,0.602575757575758,2.21751577652115,8.00919481357048e-05,1.21238699804717,0.650881901840491,2.08948808994812,0.00552077117405646
"Regulation Of Apoptotic Process (GO:0042981)",-1.55491989826994,0.204640039562843,1.84004068598298,0.00631781117053718,1.05556791231648,0.756177053512442,1.68719410910674,0.0343245053373915
"Regulation Of Cell Cycle (GO:0051726)",-0.797714652415565,0.899778181084896,1.80325633393875,0.0437387262910218,-0.599887402344035,0.971098265895954,1.65439562496121,0.174859995162584
"Regulation Of Cell Population Proliferation (GO:0042127)",-1.01163001355115,0.771159491193738,1.55872371862502,0.1187550723042,1.46619179034301,0.292860345897353,1.80176524426224,0.0182807675106451
"Regulation Of DNA-templated Transcription (GO:0006355)",-1.01915412653421,0.766694370473396,2.06689278245903,4.67272863119237e-05,-1.05000324113445,0.756177053512442,1.69638135352804,0.0285846137872009
"Regulation Of Gene Expression (GO:0010468)",-0.979035406487481,0.801652892561983,1.73705251037267,0.0205913934070336,1.06308415137559,0.751374312843578,1.66159291845677,0.0456611325696707
"Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)",-1.32040061037879,0.56130198915009,1.93605068603051,0.00710975722351997,-0.758172197036232,0.924877511698321,1.5156983267533,0.17521600532461
"Regulation Of Transcription By RNA Polymerase II (GO:0006357)",-1.57280973729301,0.148662088166213,2.34879053942683,2.30108082025931e-07,-0.959979805632702,0.838163816381638,1.9300416978337,0.00413150471701863
"Regulation Of miRNA Transcription (GO:1902893)",-1.37852462870544,0.56130198915009,2.24898737188113,6.9508794545516e-05,1.18128784951284,0.661693749653375,2.11151549876703,0.0044636275050793
