"pathway","NES","padj","size","input","leadingEdge"
"Adipogenesis",1.25118524897474,0.369218090038117,20,"TNBC signature","APOE,MYLK,ALDOA,PGM1,PFKL,DECR1,HADH,CAT,SCARB1"
"Allograft Rejection",1.37701633661349,0.330464716006885,14,"TNBC signature","HLA-DRA,CDKN2A,HLA-DMA,STAT1"
"Androgen Response",0.717240483783891,0.858692549243505,15,"TNBC signature","CCND1,RAB4A,CDK6"
"Apical Junction",1.15982520756286,0.482853223593964,19,"TNBC signature","MYL9,RSU1,HADH,SHC1,PIK3R3,SORBS3"
"Apoptosis",-1.90175899413638,0.0071850695439603,27,"TNBC signature","IER3,HMOX1,GADD45B,PMAIP1,GADD45A,HSPB1,ERBB3,CD44"
"Complement",1.53938690956944,0.159580861832903,19,"TNBC signature","CTSD,CSRP1,S100A13,CALM3,CALM1,LAP3"
"DNA Repair",1.51729992065841,0.188811188811189,17,"TNBC signature","MPC2,POLB,POLD4,PCNA,HPRT1,VPS28,RFC2,POLR2K"
"E2F Targets",1.76701226081571,0.031174115189778,24,"TNBC signature","STMN1,CDKN2A,CDK4,PSIP1,PCNA,PAICS,DNMT1,USP1,MTHFD2,RFC2,CDC25B,SMC4"
"Epithelial Mesenchymal Transition",0.902059443414092,0.680935788949726,11,"TNBC signature","MYL9,MYLK,MEST"
"Estrogen Response Early",-1.53804395393855,0.159580861832903,21,"TNBC signature","PMAIP1,FHL2,BHLHE40,NRIP1,TIPARP,CD44,MUC1,BCL2,DYNLT3,IGF1R,PRSS23,SLC1A4"
"Estrogen Response Late",-0.945498374366886,0.662145713788906,22,"TNBC signature","UGDH,NRIP1,ID2,CD44,BCL2,DYNLT3,PRSS23,SLC1A4"
"Fatty Acid Metabolism",1.22514362698016,0.369218090038117,18,"TNBC signature","ALDOA,UBE2L6,PCBD1,DECR1,HADH,CBR1,CBR3,PSME1,DLD"
"G2-M Checkpoint",1.31636295694111,0.330464716006885,20,"TNBC signature","STMN1,CDK4,CCND1,HSPA8,ATF5"
"Glycolysis",1.05079692720693,0.62756183745583,23,"TNBC signature","STMN1,ALDOA,DDIT4,COPB2"
"Hypoxia",1.05976830887903,0.62756183745583,30,"TNBC signature","GAPDH,S100A4,ALDOA,DDIT4,PGM1,PFKL"
"IL-2/STAT5 Signaling",-1.57947921753968,0.123583560153161,17,"TNBC signature","GADD45B,BHLHE40,NFIL3,CD44,MUC1,SOCS2,BCL2,IGF1R"
"Inflammatory Response",-1.74072189209363,0.031174115189778,12,"TNBC signature","NFKBIA,CCL2,EDN1,SLC11A2,HIF1A,ICAM1,GNA15,CDKN1A"
"Interferon Gamma Response",-0.962438253801977,0.662145713788906,25,"TNBC signature","NFKBIA,CCL2,ARID5B"
"Mitotic Spindle",-0.954931576647247,0.662145713788906,11,"TNBC signature","CDC42,ARHGEF12"
"Myc Targets V1",1.43779026755525,0.240559440559441,17,"TNBC signature","HDAC2,CDK4,HSPD1,PCNA,HPRT1,USP1"
"Myogenesis",-0.938238305376605,0.662145713788906,12,"TNBC signature","GADD45B,BHLHE40,ERBB3"
"Oxidative Phosphorylation",-0.97367106385583,0.662145713788906,21,"TNBC signature","ATP1B1,ATP6V0B,ECH1"
"PI3K/AKT/mTOR  Signaling",0.531257874441927,0.971978984238179,18,"TNBC signature","CDK4,PIK3R3,PIN1,NCK1,EGFR"
"Pperoxisome",0.832494637619116,0.748067247515033,10,"TNBC signature","ITGB1BP1,CAT,FIS1"
"TNF-alpha Signaling via NF-kB",-2.35433477508888,2.08037227528433e-07,32,"TNBC signature","CEBPD,IER3,NFKBIA,GADD45B,CCL2,CXCL2,EDN1,GADD45A,BHLHE40,DUSP4,FOSL1,ID2,TIPARP,NFE2L2,NFIL3,CD44,TRIB1"
"UV Response Dn",-1.4247128853111,0.240559440559441,14,"TNBC signature","FHL2,BHLHE40,INPP4B,TJP1,SMAD3,IGF1R,NR3C1"
"UV Response Up",-1.35174357282954,0.311930493748676,22,"TNBC signature","HMOX1,NFKBIA,CXCL2,EIF5"
"Unfolded Protein Response",-1.01091777699228,0.662145713788906,18,"TNBC signature","CCL2,ERO1A,HERPUD1"
"Xenobiotic Metabolism",-1.28290912193777,0.358007662835249,19,"TNBC signature","HMOX1,UGDH,ARPP19,DHRS7,NMT1,ID2,ECH1"
"heme Metabolism",-0.783974408737633,0.831554524361949,13,"TNBC signature","ARHGEF12,FOXO3,SLC11A2,NR3C1,BNIP3L"
"mTORC1 Signaling",1.2948533144477,0.330464716006885,33,"TNBC signature","GAPDH,ALDOA,DDIT4,PHGDH,HSPD1,RPN1,PGM1,PFKL"
"p53 Pathway",1.02943400515955,0.655715944914551,26,"TNBC signature","S100A4,CDKN2A,DDIT4,CTSD"
"Adipogenesis",-1.40154453672573,0.243687374749499,20,"QL-XII-47","PGM1,REEP5,SCARB1,ACLY,DLD,MYLK,ALDOA,HADH"
"Allograft Rejection",1.10267091675941,0.458279735871709,14,"QL-XII-47","EGFR,HIF1A"
"Androgen Response",-0.938343381461328,0.613193971067182,15,"QL-XII-47","HMGCS1,RAB4A,AKT1"
"Apical Junction",-1.13586482350325,0.449859418931584,19,"QL-XII-47","MYL9,PTK2,SORBS3,GNAI2,MPZL1,HADH,RSU1,EVL,INSIG1"
"Apoptosis",1.64518409538062,0.0711334007017247,27,"QL-XII-47","HMOX1,GADD45A,GADD45B,CDKN1A,JUN,PMAIP1,CASP3"
"Complement",0.821254171165156,0.768503937007874,19,"QL-XII-47","DUSP6,GATA3,CASP3,STX4,LGMN"
"DNA Repair",-0.886771314278335,0.701172835171009,17,"QL-XII-47","PCNA,GTF2A2,HPRT1,CANT1"
"E2F Targets",-1.12734300238042,0.449859418931584,24,"QL-XII-47","PCNA,STMN1,PSIP1,DNMT1,MTHFD2,SMC4,MCM3,SMC3,SMC1A,CHEK2,PAICS,CDK4"
"Epithelial Mesenchymal Transition",1.39449221396714,0.290630975143403,11,"QL-XII-47","GADD45A,GADD45B,JUN"
"Estrogen Response Early",1.22740166638716,0.397680198840099,21,"QL-XII-47","MYC,TIPARP,BHLHE40,IGF1R,PMAIP1,FHL2,SH3BP5"
"Estrogen Response Late",-1.11180086938356,0.449859418931584,22,"QL-XII-47","PRSS23,DYNLT3,SCARB1,RAB31,HPRT1"
"Fatty Acid Metabolism",-2.06829098999464,0.00117036396821248,18,"QL-XII-47","CBR1,HMGCS1,UBE2L6,PCBD1,PSME1,NSDHL,BLVRA,DLD,CBR3,ALDOA,HADH"
"G2-M Checkpoint",1.16631308707874,0.449859418931584,20,"QL-XII-47","MYC,ATF5,MTF2,HIF1A,SMAD3"
"Glycolysis",-1.39150299277834,0.253489249339872,23,"QL-XII-47","DDIT4,STMN1,NSDHL,IL13RA1,ERO1A,DLD,ALDOA,SLC25A13"
"Hypoxia",1.89755369157226,0.00593166385608253,30,"QL-XII-47","HMOX1,ZFP36,EGFR,TIPARP,CDKN1A,JMJD6,NR3C1,FOXO3,JUN,KDM3A,NFIL3,BHLHE40"
"IL-2/STAT5 Signaling",2.10567384378143,0.00060829469714631,17,"QL-XII-47","MYC,GADD45B,NCOA3,NFIL3,BHLHE40,IGF1R,CASP3"
"Inflammatory Response",1.61763447077243,0.0711334007017247,12,"QL-XII-47","MYC,CDKN1A,NFKBIA,HIF1A"
"Interferon Gamma Response",1.25534112273681,0.329037565122018,25,"QL-XII-47","CDKN1A,NCOA3,NFKBIA,ARID5B,HIF1A,CASP3"
"Mitotic Spindle",-0.696051716878194,0.851774530271399,11,"QL-XII-47","SMC4,SMC3,SMC1A"
"Myc Targets V1",-0.981622600512564,0.613193971067182,17,"QL-XII-47","PCNA,TFDP1,HPRT1,VDAC1,G3BP1,RPS5,HDAC2"
"Myogenesis",1.27102864538612,0.394910941475827,12,"QL-XII-47","GADD45B,CDKN1A,BHLHE40,RB1,SPDEF"
"Oxidative Phosphorylation",-0.767386521965441,0.813813411859189,21,"QL-XII-47","ATP1B1,DLD,SLC25A4,VDAC1"
"PI3K/AKT/mTOR  Signaling",1.08251560510116,0.460038986354776,18,"QL-XII-47","EGFR,CDKN1A,SQSTM1,PIK3R3,NFKBIB,CAB39"
"Pperoxisome",-1.46135224395868,0.243687374749499,10,"QL-XII-47","FIS1,ITGB1BP1,SLC25A4"
"TNF-alpha Signaling via NF-kB",2.58554776601185,2.79363413911275e-09,32,"QL-XII-47","MYC,GADD45A,GADD45B,ZFP36,FOSL1,TIPARP,RELB,CDKN1A,EGR1,NFKBIE,JUN,BIRC2,NFKBIA,CXCL2,NFIL3,BHLHE40,SMAD3,CEBPD,TRIB1"
"UV Response Dn",1.67362655472706,0.0549685358022383,14,"QL-XII-47","MYC,NR3C1,BHLHE40,IGF1R,SMAD3,FHL2"
"UV Response Up",1.2808971691436,0.329037565122018,22,"QL-XII-47","HMOX1,NFKBIA,CXCL2,CASP3,EIF5"
"Unfolded Protein Response",-1.12435160016904,0.449859418931584,18,"QL-XII-47","DDIT4,EIF4EBP1,ERO1A,MTHFD2"
"Xenobiotic Metabolism",0.876841683898744,0.701172835171009,19,"QL-XII-47","HMOX1"
"heme Metabolism",1.05573393437815,0.489783037475345,13,"QL-XII-47","NR3C1,FOXO3"
"mTORC1 Signaling",-1.18241106165374,0.397680198840099,33,"QL-XII-47","DDIT4,PGM1,HMGCS1,PHGDH,RPN1,ACLY,ERO1A,HPRT1,MTHFD2,ALDOA"
"p53 Pathway",1.54484960113485,0.124225280762542,26,"QL-XII-47","HMOX1,GADD45A,CDKN1A,FOXO3,DNTTIP2,JUN,CGRRF1"
"Adipogenesis",-1.49743191606821,0.216362407031778,20,"GSK-690693","PGM1,HADH,SDHB,SLC5A6,DHRS7,GADD45A,ALDOA,ACLY,DECR1,APOE"
"Allograft Rejection",0.95859484943843,0.691256830601093,14,"GSK-690693","EGFR,IKBKB"
"Androgen Response",0.967025509148642,0.691256830601093,15,"GSK-690693","TMEM50A,HMGCS1,INSIG1,MAP7,APPBP2"
"Apical Junction",0.925513291103317,0.700081632653061,19,"GSK-690693","EGFR,TSPAN4,TJP1,MPZL1,PTK2,INSIG1"
"Apoptosis",1.39314412980798,0.216362407031778,27,"GSK-690693","ERBB3,BNIP3L,GADD45B,APP,CDKN1B,ERBB2,CD44,SPTAN1,PTK2,HMOX1"
"Complement",0.797162564115158,0.822857142857143,19,"GSK-690693","CTSD,CTSL,PRCP,LAP3,GATA3,CASP7,S100A13,HSPA1A,DUSP6"
"DNA Repair",-0.878090044251365,0.723323377681238,17,"GSK-690693","PCNA,GTF2A2,POLR2I,POLR2K,POLB,MPC2,RFC2,NUDT9,RPA3,HPRT1,POLR1C"
"E2F Targets",-1.2944394908304,0.331851851851852,24,"GSK-690693","PCNA,SMC1A,EED,NOLC1"
"Epithelial Mesenchymal Transition",1.08521520294808,0.5978729519977,11,"GSK-690693","GADD45B,CD44,ID2,TPM1,PLOD3"
"Estrogen Response Early",1.23707876653901,0.372745490981964,21,"GSK-690693","IGF1R,RAB31,TIPARP,CD44,FHL2,FDFT1"
"Estrogen Response Late",0.550630397467823,0.989837398373984,22,"GSK-690693","RAB31,CD44,ID2,FDFT1"
"Fatty Acid Metabolism",-1.62569872763234,0.139518973891169,18,"GSK-690693","HADH,PCBD1,CBR3,HSD17B10,ACAA1,BPHL,UBE2L6,ALDOA,NSDHL,CBR1,DECR1,PSME1"
"G2-M Checkpoint",-1.40318266178276,0.244791666666667,20,"GSK-690693","HSPA8,SMC1A,NOLC1,MNAT1,ATF5,PAFAH1B1"
"Glycolysis",0.728941991915693,0.876999737739313,23,"GSK-690693","EGFR,GLRX,ERO1A,GNPDA1,CD44"
"Hypoxia",1.28299166946756,0.305812313958953,30,"GSK-690693","BNIP3L,GAA,NR3C1,EGFR,GLRX,TIPARP,ERO1A,CDKN1B,PFKL"
"IL-2/STAT5 Signaling",1.28147492249562,0.331851851851852,17,"GSK-690693","NCOA3,IGF1R,GADD45B,SOCS2,CD44"
"Inflammatory Response",-1.25432316146977,0.383233532934132,12,"GSK-690693","CCL2,NFKBIA"
"Interferon Gamma Response",0.991109289131434,0.691256830601093,25,"GSK-690693","MVP,NCOA3"
"Mitotic Spindle",-0.87488243358715,0.723323377681238,11,"GSK-690693","SMC1A,ARFIP2,PAFAH1B1,CEP57,CDC42"
"Myc Targets V1",-1.61592582798893,0.160237643797952,17,"GSK-690693","HSPD1,PCNA,HDAC2,NOLC1"
"Myogenesis",1.65524565699073,0.139518973891169,12,"GSK-690693","ERBB3,GAA,GADD45B,APP"
"Oxidative Phosphorylation",-1.72177367784976,0.139518973891169,21,"GSK-690693","CYCS,TIMM9,SDHB,SUPV3L1,ALAS1,HSD17B10,ATP6V0B,ACAA1"
"PI3K/AKT/mTOR  Signaling",0.884790386868123,0.723323377681238,18,"GSK-690693","EGFR,VAV3,CDKN1B,CAB39,DUSP3"
"Pperoxisome",1.07624907038928,0.5978729519977,10,"GSK-690693","MVP"
"TNF-alpha Signaling via NF-kB",-0.867889956190406,0.723323377681238,32,"GSK-690693","CCL2,FOSL1,NFKBIA,NFIL3,TRIB1,RELB"
"UV Response Dn",1.68078366218747,0.139518973891169,14,"GSK-690693","IGF1R,NR3C1,TJP1,CDKN1B,ERBB2,FHL2,SMAD3,INSIG1"
"UV Response Up",-1.22840825195387,0.383233532934132,22,"GSK-690693","EIF5,NFKBIA,ALAS1,RAB27A,ACAA1,CCND3,ALDOA"
"Unfolded Protein Response",-1.54771688198464,0.160237643797952,18,"GSK-690693","DDIT4,CCL2,NOLC1,FKBP14,EIF4EBP1,ATF6"
"Xenobiotic Metabolism",-1.39734318360832,0.244791666666667,19,"GSK-690693","PYCR1,SLC35B1,PGRMC1,ALAS1,DHRS7,BPHL,CBR1,ARPP19,APOE"
