"drug","cell","AUC","IC50_uM","Z_SCORE"
"QL-XII-47","HS578T",0.898695,15.2170422433944,0.819372
"QL-XII-47","MDAMB231",0.716474,2.78437379804951,-0.184132
"QL-XII-47","BT20",0.533725,0.803290389217537,-0.918602
"QL-XII-47","CAL120",0.810553,7.36339423745357,0.390473
"QL-XII-47","DU4475",0.592634,1.10888055785221,-0.728116
"QL-XII-47","HCC1806",0.837092,6.18548859815001,0.287479
"QL-XII-47","HCC70",0.756508,3.70701140212455,-0.015028
"GSK690693","HS578T",0.985685,161.647170475451,0.871972
"GSK690693","MDAMB231",0.984507,159.756694742368,0.865286
"GSK690693","BT20",0.823586,7.44266512182294,-0.877569
"GSK690693","CAL120",0.959135,85.5378527335452,0.510231
"GSK690693","DU4475",0.97591,40.2079203560228,0.081173
"GSK690693","HCC1806",0.968365,40.0347569272507,0.07872
"GSK690693","HCC70",0.854555,8.90373632108655,-0.775694
